mysql> SELECT SUBSTRING_INDEX(content,'@',-1), count(SUBSTRING_INDEX(content,'@',-1)) FROM ElectronicMail GROUP BY SUBSTRING_INDEX(content,'@',-1) ORDER BY SUBSTRING_INDEX(content,'@',-1);
+-----------------------------------+----------------------------------------+
| SUBSTRING_INDEX(content,'@',-1)   | count(SUBSTRING_INDEX(content,'@',-1)) |
| vestibulumnequesed.ca             |                                      1 |
| Vestibulumuteros.org              |                                      1 |
| vitae.ca                          |                                      2 |
| vitae.co.uk                       |                                      3 |
| vitae.edu                         |                                      1 |
| vitaealiquameros.net              |                                      2 |
| vitaediamProin.com                |                                      1 |
| vitaedolor.com                    |                                      1 |
| vitaedolorDonec.co.uk             |                                      1 |
| vitaeerat.co.uk                   |                                      1 |
| vitaeeratvel.org                  |                                      1 |
| vitaeorci.co.uk                   |                                      1 |
| vitaepurus.net                    |                                      1 |
| vitaerisus.org                    |                                      1 |
| vitaerisusDuis.edu                |                                      2 |
| vitaerisusDuis.org                |                                      1 |
| vitaesemperegestas.edu            |                                      2 |
| vitaesodales.ca                   |                                      1 |
| vitaesodales.com                  |                                      1 |
| vitaesodalesat.org                |                                      1 |
| vitaesodalesnisi.edu              |                                      1 |
| Vivamus.com                       |                                      1 |
| Vivamus.edu                       |                                      1 |
| Vivamus.net                       |                                      1 |
| Vivamus.org                       |                                      1 |
| Vivamusmolestie.org               |                                      2 |
| Vivamusmolestiedapibus.net        |                                      1 |
| Vivamusnisi.net                   |                                      1 |
| Vivamussitamet.edu                |                                      1 |
| viverra.com                       |                                      1 |
| viverraDonec.co.uk                |                                      1 |
| viverraMaecenasiaculis.net        |                                      1 |
| volutpat.ca                       |                                      1 |
| volutpat.com                      |                                      1 |
| volutpat.net                      |                                      1 |
| volutpatNulla.net                 |                                      1 |
| volutpatNulladignissim.edu        |                                      1 |
| volutpatNullafacilisis.com        |                                      1 |
| volutpatnunc.edu                  |                                      1 |
| volutpatnuncsit.ca                |                                      1 |
| volutpatnuncsit.co.uk             |                                      1 |
| vulputate.co.uk                   |                                      2 |
| vulputate.net                     |                                      2 |
| vulputate.org                     |                                      1 |
| vulputatedui.com                  |                                      1 |
| vulputateduinec.org               |                                      1 |
| vulputateeu.org                   |                                      1 |
| vulputatelacus.edu                |                                      1 |
| vulputatelacus.org                |                                      1 |
| vulputatemaurissagittis.ca        |                                      1 |
| vulputateposuere.ca               |                                      1 |
| vulputateposuere.org              |                                      1 |
| vulputateposuerevulputate.com     |                                      1 |
| vulputaterisus.com                |                                      1 |
| vulputaterisus.net                |                                      1 |
| vulputatevelit.org                |                                      1 |
+-----------------------------------+----------------------------------------+
1983 rows in set (0.01 sec)
